EmployeeNumber,Attrition,Age,DailyRate,DistanceFromHome,HourlyRate,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,Education_2,Education_3,Education_4,Education_5,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,EnvironmentSatisfaction_2,EnvironmentSatisfaction_3,EnvironmentSatisfaction_4,Gender_Male,JobInvolvement_2,JobInvolvement_3,JobInvolvement_4,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
11,0,35,809,16,84,2,2426,16479,0,1,0,13,3,3,80,1,6,5,3,5,4,0,3,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
12,0,29,153,15,49,3,4193,12682,0,1,1,12,3,4,80,0,10,3,3,9,5,0,8,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
13,0,31,670,26,31,3,2911,15170,1,1,0,17,3,4,80,1,5,1,2,5,2,4,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0,34,1346,19,93,4,2661,8758,0,1,0,11,3,3,80,1,3,2,3,2,2,1,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,1,28,103,24,50,3,2028,12947,5,1,1,14,3,2,80,0,6,4,3,4,2,0,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
16,0,29,1389,21,51,1,9980,10195,1,1,0,11,3,3,80,1,10,1,3,10,9,8,8,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
17,0,32,334,5,80,2,3298,15053,0,1,1,12,3,4,80,2,7,5,2,6,2,0,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,0,22,1123,16,96,4,2935,7324,1,1,1,13,3,2,80,2,1,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,53,1219,2,78,4,15427,22021,2,1,0,16,3,3,80,0,31,3,3,25,8,3,7,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,0,38,371,2,45,4,3944,4306,5,1,1,11,3,3,80,0,6,3,3,3,2,1,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21,0,24,673,11,96,3,4011,8232,0,1,0,18,3,4,80,1,5,5,2,4,2,1,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
22,1,36,1218,9,82,1,3407,6986,7,1,0,23,4,2,80,0,10,4,3,5,3,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
23,0,34,419,7,53,2,11994,21293,0,1,0,11,3,3,80,0,13,4,3,12,6,2,11,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
24,0,21,391,15,96,4,1232,19281,1,1,0,14,3,4,80,0,0,6,3,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,1,34,699,6,83,1,2960,17102,2,1,0,11,3,3,80,0,8,2,3,4,2,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
26,0,53,1282,5,58,3,19094,10735,4,1,0,11,3,4,80,1,26,3,2,14,13,4,8,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
27,1,32,1125,16,72,1,3919,4681,1,1,1,22,4,2,80,0,10,5,3,10,2,6,7,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,0,42,691,8,48,2,6825,21173,0,1,0,11,3,4,80,1,10,2,3,9,7,4,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
29,0,44,477,7,42,4,10248,2094,3,1,0,14,3,4,80,1,24,4,3,22,6,5,17,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30,0,46,705,2,83,1,18947,22822,3,1,0,12,3,4,80,0,22,2,2,2,2,2,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
31,0,33,924,2,78,4,2496,6670,4,1,0,11,3,4,80,0,7,3,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,0,44,1459,10,41,4,6465,19121,2,1,1,13,3,4,80,0,9,5,4,4,2,1,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
33,0,30,125,9,83,3,2206,16117,1,1,0,13,3,1,80,0,10,5,3,10,0,1,8,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34,1,39,895,5,56,4,2086,3335,3,1,0,14,3,3,80,1,19,6,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
35,1,24,813,1,61,4,2293,3020,2,1,1,16,3,1,80,1,6,2,2,2,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,0,43,1273,2,72,3,2645,21923,1,1,0,12,3,4,80,2,6,3,2,5,3,1,4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,1,50,869,3,86,3,2683,3810,1,1,1,14,3,3,80,0,3,2,3,3,2,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
38,0,35,890,2,97,4,2014,9687,1,1,0,13,3,1,80,0,2,3,3,2,2,2,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
39,0,36,852,5,82,1,3419,13072,9,1,1,14,3,4,80,1,6,3,4,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40,0,33,1141,1,42,1,5376,3193,2,1,0,19,3,1,80,2,10,3,3,5,3,1,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
41,0,35,464,4,75,4,1951,10910,1,1,0,12,3,3,80,1,1,3,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,0,27,1240,2,33,1,2341,19715,1,1,0,13,3,4,80,1,1,6,3,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,1,26,1357,25,48,3,2293,10558,1,1,0,12,3,3,80,0,1,2,2,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
44,0,27,994,8,37,3,8726,2975,1,1,0,15,3,4,80,0,9,0,3,9,8,1,7,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
45,0,30,721,1,58,4,4011,10781,1,1,0,23,4,4,80,0,12,2,3,12,8,3,7,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
46,1,41,1360,12,49,3,19545,16280,1,1,0,12,3,4,80,0,23,0,3,22,15,15,8,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
47,0,34,1065,23,72,3,4568,10034,0,1,0,20,4,3,80,0,10,2,3,9,5,8,7,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
48,0,37,408,19,73,2,3022,10227,4,1,0,21,4,1,80,0,8,1,3,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
49,0,46,1211,5,98,4,5772,20445,4,1,1,21,4,3,80,0,14,4,3,9,6,0,8,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
50,0,35,1229,8,36,4,2269,4892,1,1,0,19,3,4,80,0,1,2,3,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
51,1,48,626,1,98,3,5381,19294,9,1,1,13,3,4,80,0,23,2,3,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
52,1,28,1434,5,50,3,3441,11179,1,1,1,13,3,3,80,0,2,3,2,2,2,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
53,0,44,1488,1,75,1,5454,4009,5,1,1,21,4,3,80,1,9,2,2,4,3,1,3,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
54,0,35,1097,11,79,1,9884,8302,2,1,1,13,3,3,80,1,10,3,3,4,0,2,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
55,0,26,1443,23,47,4,4157,21436,7,1,1,19,3,3,80,1,5,2,2,2,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
56,0,33,515,1,98,4,13458,15146,1,1,1,12,3,3,80,0,15,1,3,15,14,8,12,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
57,0,35,853,18,71,1,9069,11031,1,1,0,22,4,4,80,1,9,3,2,9,8,1,8,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
58,0,35,1142,23,30,1,4014,16002,3,1,1,15,3,3,80,1,4,3,3,2,2,2,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
59,0,31,655,7,48,4,5915,9528,3,1,0,22,4,4,80,1,10,3,2,7,7,1,7,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
60,0,37,1115,1,51,3,5993,2689,1,1,0,18,3,3,80,1,7,2,4,7,5,0,7,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
61,0,32,427,1,33,4,6162,10877,1,1,1,22,4,2,80,1,9,3,3,9,8,7,8,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
62,0,38,653,29,50,4,2406,5456,1,1,0,11,3,4,80,0,10,2,3,10,3,9,9,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
63,0,50,989,7,43,3,18740,16701,5,1,1,12,3,4,80,1,29,2,2,27,3,13,8,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
64,0,59,1435,25,99,1,7637,2354,7,1,0,11,3,4,80,0,28,3,2,21,16,7,9,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
65,0,36,1223,8,59,3,10096,8202,1,1,0,13,3,2,80,3,17,2,3,17,14,12,8,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,0,55,836,8,33,3,14756,19730,2,1,1,14,3,3,80,3,21,2,3,5,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
67,0,36,1195,11,95,2,6499,22656,1,1,0,13,3,3,80,0,6,3,3,6,5,0,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
68,0,45,1339,7,59,1,9724,18787,2,1,0,17,3,3,80,1,25,2,3,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
69,0,35,664,1,79,1,2194,5868,4,1,0,13,3,4,80,1,5,2,2,3,2,1,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
70,1,36,318,9,79,3,3388,21777,0,1,1,17,3,1,80,1,2,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
71,0,59,1225,1,57,3,5473,24668,7,1,0,11,3,4,80,0,20,2,2,4,3,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
72,0,29,1328,2,76,2,2703,4956,0,1,0,23,4,4,80,1,6,3,3,5,4,0,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
73,0,31,1082,1,87,2,2501,18775,1,1,0,17,3,2,80,0,1,4,3,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
74,0,32,548,1,66,2,6220,7346,1,1,0,17,3,2,80,2,10,3,3,10,4,0,9,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
75,0,36,132,6,55,4,3038,22002,3,1,0,12,3,2,80,0,5,3,3,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
76,0,31,746,8,61,4,4424,20682,1,1,0,23,4,4,80,0,11,2,3,11,7,1,8,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
77,0,35,776,1,32,1,4312,23016,0,1,0,14,3,2,80,0,16,2,3,15,13,2,8,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
78,0,45,193,6,52,1,13245,15067,4,1,1,14,3,2,80,0,17,3,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
79,0,37,397,7,30,3,13664,25258,4,1,0,13,3,1,80,0,16,3,4,5,2,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
80,0,46,945,5,80,2,5021,10425,8,1,1,22,4,4,80,1,16,2,3,4,2,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
81,0,30,852,1,55,4,5126,15998,1,1,1,12,3,3,80,2,10,1,2,10,8,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
82,0,35,1214,1,30,3,2859,26278,1,1,0,18,3,1,80,0,6,3,3,6,4,0,4,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
83,0,55,111,1,70,4,10239,18092,3,1,0,14,3,4,80,1,24,4,3,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
84,0,38,573,6,79,4,5329,15717,7,1,1,12,3,4,80,3,17,3,3,13,11,1,9,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
85,0,34,1153,1,94,2,4325,17736,1,1,0,15,3,3,80,0,5,2,3,5,2,1,3,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
86,0,56,1400,7,49,4,7260,21698,4,1,0,11,3,1,80,0,37,3,2,6,4,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
87,0,23,541,2,62,1,2322,9518,3,1,0,13,3,3,80,1,3,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,0,51,432,9,96,4,2075,18725,3,1,0,23,4,2,80,2,10,4,3,4,2,0,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
89,0,30,288,2,99,4,4152,15830,1,1,0,19,3,1,80,3,11,3,3,11,10,10,8,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
90,1,46,669,9,64,4,9619,13596,1,1,0,16,3,4,80,0,9,3,3,9,8,4,7,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
91,0,40,530,1,78,2,13503,14115,1,1,0,22,4,4,80,1,22,3,2,22,3,11,11,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
92,0,51,632,21,71,4,5441,8423,0,1,1,22,4,4,80,0,11,2,1,10,7,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
93,0,30,1334,4,63,2,5209,19760,1,1,1,12,3,2,80,3,11,4,2,11,8,2,7,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
94,0,46,638,1,40,1,10673,3142,2,1,1,13,3,3,80,1,21,5,2,10,9,9,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
95,0,32,1093,6,87,3,5010,24301,1,1,0,16,3,1,80,0,12,0,3,11,8,5,7,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
96,0,54,1217,2,60,3,13549,24001,9,1,0,12,3,1,80,1,16,5,1,4,3,0,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
97,0,24,1353,3,33,3,4999,17519,0,1,0,21,4,1,80,1,4,2,2,3,2,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
98,0,28,120,4,43,3,4221,8863,1,1,0,15,3,2,80,0,5,3,4,5,4,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
99,0,58,682,10,37,3,13872,24409,0,1,0,13,3,3,80,0,38,1,2,37,10,1,8,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
100,0,44,489,23,67,2,2042,25043,4,1,0,12,3,3,80,1,17,3,4,3,2,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
101,1,37,807,6,63,1,2073,23648,4,1,1,22,4,4,80,0,7,3,3,3,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,0,32,827,1,71,1,2956,15178,1,1,0,13,3,4,80,0,1,2,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
103,1,20,871,6,66,4,2926,19783,1,1,1,18,3,2,80,0,1,5,3,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
104,0,34,665,6,41,3,4809,12482,1,1,0,14,3,3,80,0,16,3,3,16,13,2,10,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
105,0,37,1040,2,100,4,5163,15850,5,1,0,14,3,4,80,1,17,2,4,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,59,1420,2,32,4,18844,21922,9,1,0,21,4,4,80,1,30,3,3,3,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
107,0,50,1115,1,73,2,18172,9755,3,1,1,19,3,1,80,0,28,1,2,8,3,0,7,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
108,1,25,240,5,46,3,5744,26959,1,1,1,11,3,4,80,0,6,1,3,6,4,0,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
